Table_Number,Name,Name.1,Name.2,Last commit message,Last commit date,Language,Compiled/interpreted,Process virtual machine (VM),Garbage collector (GC),Build time,Memory safety,Type safety,Null safety,Data race safety,Nominal/Structural,Static/Dynamic,Manifest/Inferred,Sum types,Ad hoc,Parametric,Subtype,Coercion,Raw pointer,Smart pointer,References,Double free,Use after free (dangling pointer),Null dereferencing,Buffer overflow,Async/await,Multithreading,Channels,Package manager,Toolchain management,Formatter,Linting,Testing
1,Latest commit History44 Commits,Latest commit History44 Commits,Latest commit History44 Commits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LICENSE,LICENSE,LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,README.md,README.md,README.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,View all files,View all files,View all files,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,Javascript,JIT,"Yes (web browser, Node.js)",Yes,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,Typescript,JIT,"Yes (web browser, Node.js)",Yes,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,Dart,JIT/AOT,Yes (web) / No (mobile),Yes,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,Python,interpreted,Yes,Yes (reference counting),-,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,Java,JIT,Yes (JVM),Yes (tracing),faster,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,Go,AOT,No,Yes,faster,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,Rust,AOT,No,No,slower,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,C++,AOT,No,No,slower,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,C,AOT,No,No,slower,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,Javascript,,,,,Yes (GC),weak,No,Yes (single-threaded),,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,Typescript,,,,,Yes (GC),strong (in strict mode),Yes,Yes (single-threaded),,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,Dart,,,,,Yes (GC),strong,Yes,Yes (single-threaded),,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,Python,,,,,Yes (GC),strong,No,Yes (single-threaded),,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,Java,,,,,Yes (GC),strong,No,No,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,Go,,,,,Yes (GC),strong,No,Yes,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,Rust,,,,,"Yes (RAII, ownership)",strong,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,C++,,,,,Partially (RAII),weak,No,No,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,C,,,,,No,weak,No,No,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,Javascript,,,,,,,,,-,dynamic,inferred,No,,,,,,,,,,,,,,,,,,,
4,,,,,,Typescript,,,,,,,,,structural,static,manifest,Yes (discriminated union),,,,,,,,,,,,,,,,,,,
4,,,,,,Dart,,,,,,,,,nominal,static,gradual,No,,,,,,,,,,,,,,,,,,,
4,,,,,,Python,,,,,,,,,nominal,dynamic,inferred / optional manifest,No,,,,,,,,,,,,,,,,,,,
4,,,,,,Java,,,,,,,,,nominal,static,manifest / optional inferred,Yes (sealed classes),,,,,,,,,,,,,,,,,,,
4,,,,,,Go,,,,,,,,,partially structural / partially nominal,static,partially inferred,No,,,,,,,,,,,,,,,,,,,
4,,,,,,Rust,,,,,,,,,mostly nominal,static,manifest / optional inferred,Yes (enum),,,,,,,,,,,,,,,,,,,
4,,,,,,C++,,,,,,,,,nominal,static,manifest / optional inferred,No,,,,,,,,,,,,,,,,,,,
4,,,,,,C,,,,,,,,,nominal,static,manifest,No,,,,,,,,,,,,,,,,,,,
5,,,,,,Javascript,,,,,,,,,,,,,No,No,Yes (duck typing),Yes,,,,,,,,,,,,,,,
5,,,,,,Typescript,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,
5,,,,,,Dart,,,,,,,,,,,,,No,Yes,Yes,Yes,,,,,,,,,,,,,,,
5,,,,,,Python,,,,,,,,,,,,,No,Yes,Yes (duck typing),Yes,,,,,,,,,,,,,,,
5,,,,,,Java,,,,,,,,,,,,,Yes (overloading),Yes,Yes,Yes,,,,,,,,,,,,,,,
5,,,,,,Go,,,,,,,,,,,,,No,Yes,Yes,Yes,,,,,,,,,,,,,,,
5,,,,,,Rust,,,,,,,,,,,,,Yes (traits),"Yes (bounded, generics)",Yes (trait objects),Yes (type coercions),,,,,,,,,,,,,,,
5,,,,,,C++,,,,,,,,,,,,,Yes (overloading),Yes (templates),Yes,Yes,,,,,,,,,,,,,,,
5,,,,,,C,,,,,,,,,,,,,No,No,No,Yes,,,,,,,,,,,,,,,
6,,,,,,Java,,,,,,,,,,,,,,,,,No,No,Yes (can be null),,,,,,,,,,,,
6,,,,,,Rust,,,,,,,,,,,,,,,,,Yes (unsafe Rust),"Yes (std::boxed::Box, std::rc::Rc, std::sync::Arc)",Yes (can't be null),,,,,,,,,,,,
6,,,,,,C++,,,,,,,,,,,,,,,,,Yes,"Yes (std::unique_ptr, std::shared_ptr)","Yes (can't be null, can't be reseated)",,,,,,,,,,,,
6,,,,,,C,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,
7,,,,,,Java,,,,,,,,,,,,,,,,,,,,No (GC),No (GC),Yes (NullPointerException),No,,,,,,,,
7,,,,,,Go,,,,,,,,,,,,,,,,,,,,No (GC),No (GC),Yes (nil pointer dereference),No,,,,,,,,
7,,,,,,Rust,,,,,,,,,,,,,,,,,,,,No (ownership rules),No (borrowing rules),No (std::option::Option),No,,,,,,,,
7,,,,,,C++,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,
7,,,,,,C,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,
8,,,,,,Javascript,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes (web workers),No,,,,,
8,,,,,,Typescript,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes (web workers),No,,,,,
8,,,,,,Python,,,,,,,,,,,,,,,,,,,,,,,,Yes (asyncio),Yes (multiprocessing with IPC; thread and threading but GIL),No,,,,,
8,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes (java.lang.Thread),Yes (java.nio.channels.Channels),,,,,
8,,,,,,Go,,,,,,,,,,,,,,,,,,,,,,,,Yes (via channels),Yes (goroutines),Yes (chan),,,,,
8,,,,,,Rust,,,,,,,,,,,,,,,,,,,,,,,,"Yes (async-std, tokio)","Yes (std::thread, tokio, rayon)",Yes (std::sync::mpsc),,,,,
8,,,,,,C++,,,,,,,,,,,,,,,,,,,,,,,,Yes (std::async),"Yes (std::thread, std::execution)",No,,,,,
9,,,,,,Javascript,,,,,,,,,,,,,,,,,,,,,,,,,,,"npm, yarn, pnpm","nvm, nvs","prettier, beautifier",eslint,"jest, mocha"
9,,,,,,Typescript,,,,,,,,,,,,,,,,,,,,,,,,,,,"npm, yarn, pnpm","nvm, nvs","prettier, beautifier",eslint,"jest, mocha"
9,,,,,,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,"pip, venv, setuptools",pyenv,"autopep8, black","mypy, pyright",pytest
9,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,"maven, gradle",--,various,spotbugs,"JUnit, mockito"
9,,,,,,Go,,,,,,,,,,,,,,,,,,,,,,,,,,,go,go,go fmt,go vet,"go test, testify"
9,,,,,,Rust,,,,,,,,,,,,,,,,,,,,,,,,,,,cargo,rustup,rustfmt,clippy,cargo
9,,,,,,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,"vcpkg, conan",--,clang-format,clang-tidy,--
