Table_Number,Oct 2025,Oct 2024,Change,Programming Language,Programming Language.1,Ratings,Change.1,Position,2025,2020,2015,2010,2005,2000,1995,1990,1985,Year,Winner
1,1.0,1.0,,,Python,24.45%,+2.55%,,,,,,,,,,,,
1,2.0,4.0,,,C,9.29%,+0.91%,,,,,,,,,,,,
1,3.0,2.0,,,C++,8.84%,-2.77%,,,,,,,,,,,,
1,4.0,3.0,,,Java,8.35%,-2.15%,,,,,,,,,,,,
1,5.0,5.0,,,C#,6.94%,+1.32%,,,,,,,,,,,,
1,6.0,6.0,,,JavaScript,3.41%,-0.13%,,,,,,,,,,,,
1,7.0,7.0,,,Visual Basic,3.22%,+0.87%,,,,,,,,,,,,
1,8.0,8.0,,,Go,1.92%,-0.10%,,,,,,,,,,,,
1,9.0,10.0,,,Delphi/Object Pascal,1.86%,+0.19%,,,,,,,,,,,,
1,10.0,11.0,,,SQL,1.77%,+0.13%,,,,,,,,,,,,
1,11.0,9.0,,,Fortran,1.70%,-0.10%,,,,,,,,,,,,
1,12.0,29.0,,,Perl,1.66%,+1.10%,,,,,,,,,,,,
1,13.0,17.0,,,R,1.52%,+0.43%,,,,,,,,,,,,
1,14.0,15.0,,,PHP,1.38%,+0.17%,,,,,,,,,,,,
1,15.0,16.0,,,Assembly language,1.20%,+0.07%,,,,,,,,,,,,
1,16.0,13.0,,,Rust,1.19%,-0.25%,,,,,,,,,,,,
1,17.0,12.0,,,MATLAB,1.16%,-0.32%,,,,,,,,,,,,
1,18.0,14.0,,,Scratch,1.15%,-0.26%,,,,,,,,,,,,
1,19.0,24.0,,,Ada,0.98%,+0.25%,,,,,,,,,,,,
1,20.0,21.0,,,Kotlin,0.98%,+0.01%,,,,,,,,,,,,
2,,,,Classic Visual Basic,,0.97%,,21.0,,,,,,,,,,,
2,,,,Swift,,0.94%,,22.0,,,,,,,,,,,
2,,,,COBOL,,0.86%,,23.0,,,,,,,,,,,
2,,,,Prolog,,0.80%,,24.0,,,,,,,,,,,
2,,,,Ruby,,0.77%,,25.0,,,,,,,,,,,
2,,,,SAS,,0.65%,,26.0,,,,,,,,,,,
2,,,,Dart,,0.62%,,27.0,,,,,,,,,,,
2,,,,Lisp,,0.55%,,28.0,,,,,,,,,,,
2,,,,(Visual) FoxPro,,0.47%,,29.0,,,,,,,,,,,
2,,,,Julia,,0.46%,,30.0,,,,,,,,,,,
2,,,,Objective-C,,0.46%,,31.0,,,,,,,,,,,
2,,,,Haskell,,0.45%,,32.0,,,,,,,,,,,
2,,,,Lua,,0.38%,,33.0,,,,,,,,,,,
2,,,,Scala,,0.36%,,34.0,,,,,,,,,,,
2,,,,TypeScript,,0.31%,,35.0,,,,,,,,,,,
2,,,,PL/SQL,,0.26%,,36.0,,,,,,,,,,,
2,,,,VBScript,,0.24%,,37.0,,,,,,,,,,,
2,,,,GAMS,,0.24%,,38.0,,,,,,,,,,,
2,,,,ABAP,,0.23%,,39.0,,,,,,,,,,,
2,,,,Solidity,,0.20%,,40.0,,,,,,,,,,,
2,,,,Elixir,,0.19%,,41.0,,,,,,,,,,,
2,,,,V,,0.17%,,42.0,,,,,,,,,,,
2,,,,Zig,,0.17%,,43.0,,,,,,,,,,,
2,,,,Bash,,0.16%,,44.0,,,,,,,,,,,
2,,,,ML,,0.16%,,45.0,,,,,,,,,,,
2,,,,Transact-SQL,,0.15%,,46.0,,,,,,,,,,,
2,,,,PowerShell,,0.15%,,47.0,,,,,,,,,,,
2,,,,Erlang,,0.15%,,48.0,,,,,,,,,,,
2,,,,RPG,,0.14%,,49.0,,,,,,,,,,,
2,,,,Ladder Logic,,0.14%,,50.0,,,,,,,,,,,
3,,,,Python,,,,,1,3,6,7,7,24,16,-,-,,
3,,,,C++,,,,,2,4,3,3,3,2,1,2,10,,
3,,,,C,,,,,3,1,2,2,1,1,2,1,1,,
3,,,,Java,,,,,4,2,1,1,2,3,32,-,-,,
3,,,,C#,,,,,5,5,4,6,8,10,-,-,-,,
3,,,,JavaScript,,,,,6,7,8,9,11,8,-,-,-,,
3,,,,Go,,,,,7,13,61,172,-,-,-,-,-,,
3,,,,Visual Basic,,,,,8,10,11,-,-,-,-,-,-,,
3,,,,Delphi/Object Pascal,,,,,9,188,12,10,9,-,-,-,-,,
3,,,,SQL,,,,,10,9,-,-,-,-,-,-,-,,
3,,,,Ada,,,,,17,35,30,24,18,20,5,8,3,,
3,,,,Lisp,,,,,26,31,28,16,14,9,6,7,2,,
3,,,,(Visual) Basic,,,,,-,-,-,5,6,4,3,3,4,,
4,,,,,,,,,,,,,,,,,,2024.0,Python
4,,,,,,,,,,,,,,,,,,2023.0,C#
4,,,,,,,,,,,,,,,,,,2022.0,C++
4,,,,,,,,,,,,,,,,,,2021.0,Python
4,,,,,,,,,,,,,,,,,,2020.0,Python
4,,,,,,,,,,,,,,,,,,2019.0,C
4,,,,,,,,,,,,,,,,,,2018.0,Python
4,,,,,,,,,,,,,,,,,,2017.0,C
4,,,,,,,,,,,,,,,,,,2016.0,Go
4,,,,,,,,,,,,,,,,,,2015.0,Java
4,,,,,,,,,,,,,,,,,,2014.0,JavaScript
4,,,,,,,,,,,,,,,,,,2013.0,Transact-SQL
4,,,,,,,,,,,,,,,,,,2012.0,Objective-C
4,,,,,,,,,,,,,,,,,,2011.0,Objective-C
4,,,,,,,,,,,,,,,,,,2010.0,Python
4,,,,,,,,,,,,,,,,,,2009.0,Go
4,,,,,,,,,,,,,,,,,,2008.0,C
4,,,,,,,,,,,,,,,,,,2007.0,Python
4,,,,,,,,,,,,,,,,,,2006.0,Ruby
4,,,,,,,,,,,,,,,,,,2005.0,Java
4,,,,,,,,,,,,,,,,,,2004.0,PHP
4,,,,,,,,,,,,,,,,,,2003.0,C++
